Gene % GC content	Gene start (bp)	Gene end (bp)	Chromosome/scaffold name	Gene type	Gene stable ID
52.87	36002909	36003867	9	protein_coding	ENSG00000243641
59.14	5040945	5041940	9	processed_pseudogene	ENSG00000234534
42.37	5084999	5086112	9	processed_pseudogene	ENSG00000182347
36.91	5091093	5091604	9	unprocessed_pseudogene	ENSG00000227730
40.18	5094139	5095014	9	unprocessed_pseudogene	ENSG00000228166
40.71	5096666	5098193	9	unprocessed_pseudogene	ENSG00000224083
42.23	5098341	5099325	9	unprocessed_pseudogene	ENSG00000235917
36.72	5099560	5100229	9	unprocessed_pseudogene	ENSG00000228097
43.13	56465640	56582667	16	protein_coding	ENSG00000125124
41.21	5100236	5101009	9	unprocessed_pseudogene	ENSG00000237711
37.81	5107937	5109290	9	unprocessed_pseudogene	ENSG00000236254
54.00	37908738	37909037	8	misc_RNA	ENSG00000241032
39.86	5109496	5110762	9	unprocessed_pseudogene	ENSG00000230225
48.90	37934281	37940124	8	protein_coding	ENSG00000169154
65.51	5110913	5112849	9	processed_pseudogene	ENSG00000236567
58.60	5113549	5114804	9	IG_C_pseudogene	ENSG00000254017
37.60	5123880	5185647	9	protein_coding	ENSG00000120210
38.17	73508803	73534128	4	lncRNA	ENSG00000250436
56.65	9311284	9311689	11	processed_pseudogene	ENSG00000254884
39.94	5231419	5235304	9	protein_coding	ENSG00000120211
46.35	73543822	73544013	4	processed_pseudogene	ENSG00000249970
40.39	9384652	9448127	11	protein_coding	ENSG00000205339
37.08	73571550	73620631	4	protein_coding	ENSG00000169435
48.79	113444731	113597743	9	protein_coding	ENSG00000138835
37.18	18659431	18681639	10	protein_coding	ENSG00000165997
48.92	37934340	37965953	8	protein_coding	ENSG00000285880
58.89	37962990	37966599	8	protein_coding	ENSG00000188778
47.37	37983070	37983373	8	processed_pseudogene	ENSG00000270865
49.17	38030534	38060365	8	protein_coding	ENSG00000187840
40.42	18710269	18748342	10	lncRNA	ENSG00000234244
43.61	18735745	18738631	10	processed_pseudogene	ENSG00000225509
46.98	38062881	38063791	8	lncRNA	ENSG00000260949
35.14	38099471	38099931	8	lncRNA	ENSG00000272128
35.51	38122374	38122480	8	snRNA	ENSG00000253437
45.43	38123274	38124651	8	lncRNA	ENSG00000240015
34.63	53802771	55627942	10	protein_coding	ENSG00000150275
50.33	38142700	38150992	8	protein_coding	ENSG00000147465
64.96	15398696	15400356	19	TEC	ENSG00000279716
46.55	8008729	8016025	19	lncRNA	ENSG00000267939
52.83	8065402	8149592	19	protein_coding	ENSG00000142449
44.07	177346073	177346426	5	processed_pseudogene	ENSG00000239393
58.55	177357924	177372596	5	protein_coding	ENSG00000169220
46.15	9428773	9428954	11	snoRNA	ENSG00000201998
38.93	9430356	9433486	11	lncRNA	ENSG00000254397
52.91	61102489	61127852	11	protein_coding	ENSG00000110448
48.59	38148741	38163772	8	lncRNA	ENSG00000253356
42.98	38163335	38176730	8	protein_coding	ENSG00000175324
49.88	61130257	61161615	11	protein_coding	ENSG00000167987
43.20	119636457	119665324	3	protein_coding	ENSG00000121577
37.65	73710302	73714527	4	lncRNA	ENSG00000228277
31.96	73740519	73743716	4	protein_coding	ENSG00000169429
41.18	73777636	73778060	4	processed_pseudogene	ENSG00000249051
55.12	850291	892801	5	protein_coding	ENSG00000028310
47.40	5711201	5814305	4	protein_coding	ENSG00000072840
42.06	38166012	38166118	8	snRNA	ENSG00000253739
41.83	38176533	38213301	8	protein_coding	ENSG00000156735
52.47	61143380	61145464	11	TEC	ENSG00000279549
53.02	61203307	61213098	11	protein_coding	ENSG00000229859
41.28	119654513	119677454	3	protein_coding	ENSG00000138495
42.83	38201699	38204238	8	processed_pseudogene	ENSG00000248585
46.25	38223957	38231695	8	lncRNA	ENSG00000285632
42.25	38225218	38275558	8	protein_coding	ENSG00000085788
54.10	55731264	55731531	12	misc_RNA	ENSG00000258045
60.42	55732366	55732648	12	processed_pseudogene	ENSG00000257384
47.54	116580974	116583672	12	lncRNA	ENSG00000275898
51.75	236819634	236820518	1	processed_pseudogene	ENSG00000226498
48.17	116599270	116603585	12	lncRNA	ENSG00000258249
46.47	116661582	116698065	12	lncRNA	ENSG00000257883
56.49	236981339	236981708	1	processed_pseudogene	ENSG00000237991
59.00	237004103	237004441	1	protein_coding	ENSG00000244020
45.03	116698336	116703130	12	lncRNA	ENSG00000257654
44.26	116710171	116738070	12	protein_coding	ENSG00000111412
44.97	27669468	27703063	1	lncRNA	ENSG00000225886
40.19	27675603	27675709	1	snRNA	ENSG00000206767
56.19	27686810	27687471	1	processed_pseudogene	ENSG00000226662
36.19	27693731	27693835	1	snRNA	ENSG00000207095
56.51	50362613	50504244	3	protein_coding	ENSG00000007402
42.98	27739091	27739439	1	processed_pseudogene	ENSG00000231344
46.01	27739954	27740629	1	processed_pseudogene	ENSG00000230833
41.39	27773219	27824443	1	protein_coding	ENSG00000117758
44.38	116755395	116755874	12	processed_pseudogene	ENSG00000239374
40.38	116782105	116782208	12	snRNA	ENSG00000201382
44.62	116801023	116801477	12	lncRNA	ENSG00000275467
49.00	116856144	116881441	12	protein_coding	ENSG00000135116
43.08	42494569	42756947	2	protein_coding	ENSG00000057935
40.74	5923275	5923328	4	miRNA	ENSG00000263631
49.02	38758791	38758892	4	rRNA_pseudogene	ENSG00000222230
38.76	38772238	38782990	4	protein_coding	ENSG00000174123
49.90	143935233	143936186	7	protein_coding	ENSG00000221910
50.05	144109583	144110539	7	protein_coding	ENSG00000221989
50.95	116908312	116908627	12	processed_pseudogene	ENSG00000240100
42.35	116948738	116951422	12	lncRNA	ENSG00000274554
36.97	86643909	86864879	7	protein_coding	ENSG00000198822
36.85	55469200	55470138	12	protein_coding	ENSG00000184954
36.53	55492378	55493316	12	protein_coding	ENSG00000205327
41.85	27773858	27774041	1	lncRNA	ENSG00000269971
39.64	55522593	55523417	12	unprocessed_pseudogene	ENSG00000234670
33.70	27819983	27820341	1	lncRNA	ENSG00000270031
45.28	27824538	27824643	1	snRNA	ENSG00000223062
51.15	6346843	6377730	12	protein_coding	ENSG00000111319
44.43	27830782	27851676	1	protein_coding	ENSG00000117751
50.23	61227168	61248533	11	lncRNA	ENSG00000256220
52.09	61241175	61251444	11	protein_coding	ENSG00000256713
54.28	76461676	76505995	7	protein_coding	ENSG00000091073
40.78	38790677	38856817	4	protein_coding	ENSG00000174125
47.27	168441151	168673445	6	protein_coding	ENSG00000112562
39.67	49605175	49636839	6	protein_coding	ENSG00000112077
39.82	38822897	38856817	4	protein_coding	ENSG00000174130
42.57	38867677	38945739	4	protein_coding	ENSG00000197712
40.36	27834401	27834566	1	scaRNA	ENSG00000252947
50.22	892884	919357	5	protein_coding	ENSG00000071539
54.04	27872543	27886685	1	protein_coding	ENSG00000130775
37.22	30331961	30332277	8	processed_pseudogene	ENSG00000253346
46.06	30349866	30350347	8	processed_pseudogene	ENSG00000254152
57.30	30382119	30385401	8	lncRNA	ENSG00000254109
47.96	30552345	30553766	8	TEC	ENSG00000279041
39.43	30578318	30658236	8	protein_coding	ENSG00000197265
65.62	38868032	38868127	4	miRNA	ENSG00000207944
43.77	184334292	184353977	4	lncRNA	ENSG00000180712
41.32	184365180	184382416	4	lncRNA	ENSG00000249096
47.67	61299451	61342596	11	protein_coding	ENSG00000167986
44.15	27891524	27914746	1	protein_coding	ENSG00000117748
53.53	6375045	6391571	12	protein_coding	ENSG00000111321
52.59	946315	956520	5	lncRNA	ENSG00000248949
52.43	979365	981300	5	lncRNA	ENSG00000250173
62.52	1005039	1006623	5	lncRNA	ENSG00000272347
36.90	184431966	184432049	4	snoRNA	ENSG00000251878
61.58	1008802	1038943	5	protein_coding	ENSG00000145506
42.71	184471924	184472609	4	lncRNA	ENSG00000270426
49.92	184559175	184559783	4	processed_pseudogene	ENSG00000249056
50.34	184474802	184477304	4	lncRNA	ENSG00000271646
41.66	184503271	184537626	4	lncRNA	ENSG00000271538
48.95	30596914	30597532	8	lncRNA	ENSG00000253112
36.84	30643689	30643802	8	snRNA	ENSG00000254172
66.15	27433370	27433434	8	miRNA	ENSG00000273836
50.76	27459756	27479883	8	protein_coding	ENSG00000120903
45.45	184385702	184474558	4	protein_coding	ENSG00000168310
50.28	42929480	42939294	6	protein_coding	ENSG00000137161
42.59	28503296	28528215	6	protein_coding	ENSG00000198704
52.39	43014103	43021298	6	protein_coding	ENSG00000124702
62.05	1050384	1112063	5	protein_coding	ENSG00000113504
44.79	16851257	16853129	1	lncRNA	ENSG00000223643
44.12	16855407	16859284	1	unprocessed_pseudogene	ENSG00000230239
41.10	16858949	16859021	1	miRNA	ENSG00000263811
53.47	16873708	16873851	1	snRNA	ENSG00000277234
64.37	16889095	16889602	1	processed_pseudogene	ENSG00000235241
54.27	16895980	16896143	1	snRNA	ENSG00000207005
40.87	16904339	16904776	1	lncRNA	ENSG00000272426
62.13	16974502	16980632	1	protein_coding	ENSG00000117122
45.81	6393879	6396148	12	lncRNA	ENSG00000256433
46.15	6409637	6410013	12	processed_pseudogene	ENSG00000213942
47.32	6438498	6438852	12	processed_pseudogene	ENSG00000224906
50.43	6451690	6466517	12	protein_coding	ENSG00000139192
46.15	158765741	158819368	6	protein_coding	ENSG00000092820
47.54	27490781	27545564	8	protein_coding	ENSG00000120915
54.63	42287547	42311943	17	protein_coding	ENSG00000126561
57.36	16978926	17005091	1	lncRNA	ENSG00000226526
39.66	151656691	152129619	6	protein_coding	ENSG00000091831
49.06	76472099	76472365	15	processed_pseudogene	ENSG00000261232
46.24	6466537	6467135	12	lncRNA	ENSG00000276718
53.01	6477714	6480207	12	processed_pseudogene	ENSG00000256913
48.78	23354748	23368341	15	protein_coding	ENSG00000261739
56.96	1062896	1062974	5	miRNA	ENSG00000263834
45.00	132848577	132848696	5	rRNA_pseudogene	ENSG00000201274
51.04	6199715	6238271	12	protein_coding	ENSG00000010278
49.28	132866630	132868847	5	protein_coding	ENSG00000164405
57.23	16985958	17011928	1	protein_coding	ENSG00000159363
54.87	24305187	24311430	14	protein_coding	ENSG00000136305
39.80	128954180	129055173	7	protein_coding	ENSG00000064419
45.23	132873444	132875046	5	protein_coding	ENSG00000164406
47.25	34378935	34437808	15	protein_coding	ENSG00000175265
53.78	150166778	150184558	5	protein_coding	ENSG00000113722
48.34	22598290	22612963	14	protein_coding	ENSG00000100439
35.81	107859035	108382098	5	protein_coding	ENSG00000145743
41.27	208236229	208266074	2	protein_coding	ENSG00000138413
40.38	59429022	59465380	14	protein_coding	ENSG00000181619
40.23	51826195	51979342	14	protein_coding	ENSG00000186469
38.50	53883942	54310582	5	protein_coding	ENSG00000185305
37.07	55256055	55307694	5	protein_coding	ENSG00000067248
40.32	143940300	144064599	6	protein_coding	ENSG00000118495
41.23	36865628	36887052	15	lncRNA	ENSG00000259280
38.83	37050828	37050930	15	misc_RNA	ENSG00000206676
44.91	37099339	37100173	15	lncRNA	ENSG00000259460
43.22	37109587	37109984	15	lncRNA	ENSG00000274444
54.61	37216617	37216898	15	misc_RNA	ENSG00000274216
38.73	37253879	37254952	15	processed_pseudogene	ENSG00000270304
43.96	34339159	34343180	15	protein_coding	ENSG00000182117
37.45	88612431	88792953	14	protein_coding	ENSG00000165521
44.44	150209706	150209768	4	snRNA	ENSG00000238721
55.01	150422645	150423642	4	processed_pseudogene	ENSG00000248521
46.89	63907036	64072033	15	protein_coding	ENSG00000035664
45.58	150579089	150581545	4	lncRNA	ENSG00000249690
51.87	150582151	150584693	4	protein_coding	ENSG00000181541
38.15	150720981	150721478	4	processed_pseudogene	ENSG00000183432
44.64	150970671	150970782	4	rRNA_pseudogene	ENSG00000252451
39.61	121178133	121223014	9	protein_coding	ENSG00000119396
44.13	151027090	151027617	4	processed_pseudogene	ENSG00000235606
48.86	15380050	15419141	19	protein_coding	ENSG00000011243
36.23	150264435	151015727	4	protein_coding	ENSG00000198589
43.33	22094522	22095862	15	protein_coding	ENSG00000183706
45.42	21651844	21652968	15	protein_coding	ENSG00000279408
36.01	41904188	41921636	5	protein_coding	ENSG00000205765
41.79	21637909	21638992	15	protein_coding	ENSG00000182974
51.07	40217428	40277487	15	protein_coding	ENSG00000137843
51.75	17066761	17119451	1	protein_coding	ENSG00000117115
45.84	128528657	128552414	9	lncRNA	ENSG00000228395
58.22	138439057	138446969	5	protein_coding	ENSG00000132563
49.01	128663129	128684493	9	lncRNA	ENSG00000234705
54.03	151207837	151210488	7	protein_coding	ENSG00000285480
37.51	12469621	12542222	7	protein_coding	ENSG00000226690
46.82	128552558	128633662	9	protein_coding	ENSG00000197694
42.31	56588518	56588621	12	snRNA	ENSG00000201579
45.22	56638175	56645984	12	protein_coding	ENSG00000110955
46.57	41905354	41921139	6	protein_coding	ENSG00000124641
46.33	71808439	71885268	16	protein_coding	ENSG00000224470
54.68	5306790	5425414	7	protein_coding	ENSG00000182095
48.26	3188925	3377830	2	protein_coding	ENSG00000032389
53.59	17189783	17197617	1	lncRNA	ENSG00000204362
52.67	17193232	17201733	1	lncRNA	ENSG00000282843
53.30	17205128	17246007	1	protein_coding	ENSG00000142623
39.86	28431930	28443502	6	protein_coding	ENSG00000187987
45.18	71845996	71931199	16	protein_coding	ENSG00000182149
40.97	138422043	138692571	6	protein_coding	ENSG00000135540
60.44	7351889	7354944	17	protein_coding	ENSG00000213859
44.25	59209400	59215239	17	protein_coding	ENSG00000167447
37.33	56645027	56645101	12	snoRNA	ENSG00000207031
51.48	17249098	17284233	1	protein_coding	ENSG00000142619
44.13	56663341	56688408	12	protein_coding	ENSG00000110958
60.02	75633434	75641404	17	protein_coding	ENSG00000204323
39.49	178602664	178630615	5	protein_coding	ENSG00000113240
46.72	73931501	73950414	14	protein_coding	ENSG00000156050
52.02	7913339	7916289	17	protein_coding	ENSG00000179859
43.75	58166982	58171411	17	protein_coding	ENSG00000255713
51.95	100969565	101018939	7	protein_coding	ENSG00000205277
49.93	27560274	27589073	8	unitary_pseudogene	ENSG00000234770
42.73	49550666	49561907	6	protein_coding	ENSG00000197261
60.92	17277889	17277975	1	miRNA	ENSG00000266634
43.64	85435175	85435284	1	misc_RNA	ENSG00000199459
34.15	85467295	85467660	1	lncRNA	ENSG00000273264
49.61	27596917	27614700	8	protein_coding	ENSG00000120885
39.43	85482281	85578250	1	lncRNA	ENSG00000282057
54.75	77280569	77500596	17	protein_coding	ENSG00000184640
60.00	27808173	27808667	6	protein_coding	ENSG00000196747
51.53	26216200	26216688	6	protein_coding	ENSG00000273802
58.76	27807479	27807929	6	protein_coding	ENSG00000185130
38.76	27838545	27855709	6	protein_coding	ENSG00000233822
36.21	85578500	85578742	1	lncRNA	ENSG00000272691
32.47	85592280	85592356	1	snoRNA	ENSG00000199934
45.54	73949926	73963670	14	protein_coding	ENSG00000119723
44.01	85599131	85600734	1	lncRNA	ENSG00000230285
54.76	26199516	26199988	6	protein_coding	ENSG00000277224
55.41	26251614	26252075	6	protein_coding	ENSG00000275713
48.34	85580761	85584589	1	protein_coding	ENSG00000142871
58.27	26270918	26271413	6	protein_coding	ENSG00000273983
54.90	26026896	26027283	6	protein_coding	ENSG00000278705
55.34	26204610	26205021	6	protein_coding	ENSG00000276966
52.52	132588592	132589741	6	protein_coding	ENSG00000135569
42.23	26158122	26171349	6	protein_coding	ENSG00000158373
35.55	152697897	152724569	6	protein_coding	ENSG00000120279
58.61	655939	657100	6	protein_coding	ENSG00000188996
50.73	41149337	41154347	6	protein_coding	ENSG00000161911
44.82	100400826	100428992	7	protein_coding	ENSG00000078487
45.78	222452738	222454705	1	lncRNA	ENSG00000226643
61.31	222468094	222470882	1	processed_pseudogene	ENSG00000234419
46.78	222477252	222504622	1	lncRNA	ENSG00000276997
39.42	222503632	222503735	1	snRNA	ENSG00000222399
46.91	222510169	222519732	1	unprocessed_pseudogene	ENSG00000267305
43.76	222522258	222548104	1	protein_coding	ENSG00000143512
40.21	170178145	170655171	2	protein_coding	ENSG00000071909
41.52	41789896	41895375	6	protein_coding	ENSG00000164663
42.29	28080568	28089563	6	protein_coding	ENSG00000197279
44.51	48918821	48986382	3	protein_coding	ENSG00000177479
36.34	222557902	222589933	1	protein_coding	ENSG00000143498
47.86	31715348	31717919	6	protein_coding	ENSG00000244355
43.58	62060503	62062434	15	lncRNA	ENSG00000259251
52.12	62066977	62070917	15	protein_coding	ENSG00000198535
41.36	62082450	62083305	15	processed_pseudogene	ENSG00000259466
54.70	43037617	43053943	6	protein_coding	ENSG00000044090
67.16	62163535	62165285	15	protein_coding	ENSG00000205502
41.77	62193542	62222911	15	lncRNA	ENSG00000259697
46.36	62230384	62231895	15	lncRNA	ENSG00000259878
53.38	62244330	62244595	15	misc_RNA	ENSG00000276713
51.63	62255686	62256421	15	unprocessed_pseudogene	ENSG00000260375
42.72	62284190	62285006	15	lncRNA	ENSG00000260957
38.96	62304658	62304734	15	miRNA	ENSG00000277919
48.06	64762387	64762515	15	miRNA	ENSG00000221033
55.24	64815632	64825668	15	protein_coding	ENSG00000140451
41.82	143620952	143730410	7	protein_coding	ENSG00000170379
50.84	56670450	56670746	12	misc_RNA	ENSG00000241217
46.49	56714612	56741535	12	protein_coding	ENSG00000285625
39.71	222589825	222593843	1	lncRNA	ENSG00000225265
44.92	56752161	56787790	12	protein_coding	ENSG00000025423
41.30	47685864	47722021	6	protein_coding	ENSG00000153294
45.97	218303	257082	5	protein_coding	ENSG00000073578
39.14	222618097	222668007	1	protein_coding	ENSG00000154305
39.19	57117676	57139864	7	protein_coding	ENSG00000185177
37.60	7640711	7968020	7	protein_coding	ENSG00000219545
40.00	28107689	28130082	6	protein_coding	ENSG00000196812
42.32	28161769	28169594	6	protein_coding	ENSG00000226314
50.36	13731760	13763296	19	protein_coding	ENSG00000104957
46.80	135681231	135729258	7	protein_coding	ENSG00000164707
38.64	28170845	28172521	6	TEC	ENSG00000280107
39.63	28176188	28176674	6	unprocessed_pseudogene	ENSG00000216901
44.69	28188050	28189432	6	unprocessed_pseudogene	ENSG00000218016
56.15	28217643	28218634	6	processed_pseudogene	ENSG00000176933
43.41	28224886	28233487	6	protein_coding	ENSG00000137185
47.53	56712305	56731628	12	protein_coding	ENSG00000196531
62.25	27610601	27610751	8	miRNA	ENSG00000284280
50.25	27633868	27676776	8	protein_coding	ENSG00000168077
53.96	64841883	64868002	15	protein_coding	ENSG00000241839
52.20	13764522	13774282	19	protein_coding	ENSG00000037757
42.44	28241697	28252269	6	protein_coding	ENSG00000187626
44.47	73958010	74019399	14	protein_coding	ENSG00000187097
40.00	27679836	27679935	8	snRNA	ENSG00000222862
46.45	27697217	27697526	8	processed_pseudogene	ENSG00000253560
45.01	28259297	28260958	6	protein_coding	ENSG00000189134
51.27	27701194	27703789	8	TEC	ENSG00000279302
57.89	27701673	27701767	8	miRNA	ENSG00000265075
60.24	27701677	27701759	8	miRNA	ENSG00000284351
38.82	27083280	27084147	6	unitary_pseudogene	ENSG00000219770
39.91	27732915	27758552	8	lncRNA	ENSG00000253875
37.17	27109790	27109980	6	snRNA	ENSG00000222800
43.54	27122657	27123221	6	lncRNA	ENSG00000272468
41.72	27125897	27132795	6	protein_coding	ENSG00000124635
40.07	27733316	27772653	8	protein_coding	ENSG00000147419
50.96	64841883	64930920	15	protein_coding	ENSG00000249240
61.05	27133043	27133535	6	protein_coding	ENSG00000196787
59.70	27139282	27139678	6	protein_coding	ENSG00000276180
59.08	27147106	27147562	6	protein_coding	ENSG00000274997
41.27	27147626	27147688	6	miRNA	ENSG00000265565
52.39	27211244	27211913	6	processed_pseudogene	ENSG00000174572
49.82	27247701	27256624	6	protein_coding	ENSG00000112812
46.76	64911902	64958691	15	protein_coding	ENSG00000166839
48.43	13772118	13774118	19	lncRNA	ENSG00000267633
36.42	123925237	123971414	7	protein_coding	ENSG00000106304
55.77	13774456	13778773	19	protein_coding	ENSG00000104979
46.72	160249083	160345396	5	protein_coding	ENSG00000135083
53.88	13906201	13930879	19	protein_coding	ENSG00000132024
48.76	222641414	222641858	1	processed_pseudogene	ENSG00000229399
34.13	222658867	222661512	1	lncRNA	ENSG00000272750
50.31	27106184	27152583	7	protein_coding	ENSG00000105997
38.46	222668013	222713210	1	protein_coding	ENSG00000186063
41.30	133052013	133106449	5	protein_coding	ENSG00000170606
50.95	2679522	2775500	7	protein_coding	ENSG00000174945
45.33	74003396	74003470	14	processed_pseudogene	ENSG00000279461
43.01	74019349	74082863	14	protein_coding	ENSG00000119636
36.81	222712553	222735196	1	protein_coding	ENSG00000162819
48.93	32389599	32403292	15	protein_coding	ENSG00000249931
45.90	71859680	71895336	16	protein_coding	ENSG00000102984
41.99	64228474	64266931	7	protein_coding	ENSG00000197123
45.33	134477706	134486716	3	protein_coding	ENSG00000129055
56.66	132656263	132661110	5	protein_coding	ENSG00000169194
43.41	74056847	74084492	14	protein_coding	ENSG00000119711
38.43	64307459	64356634	7	protein_coding	ENSG00000234444
47.79	92762757	92763750	15	processed_pseudogene	ENSG00000258562
43.38	92779757	92781492	15	lncRNA	ENSG00000260361
52.46	92795647	92796439	15	processed_pseudogene	ENSG00000258527
46.82	92805770	92808567	15	lncRNA	ENSG00000258922
56.34	92808451	92809057	15	lncRNA	ENSG00000274215
42.98	92819540	92899701	15	lncRNA	ENSG00000272888
40.73	64355078	64356199	7	unprocessed_pseudogene	ENSG00000227986
35.11	64425623	64426334	7	unprocessed_pseudogene	ENSG00000276650
42.99	64433830	64434592	7	processed_pseudogene	ENSG00000232727
39.83	71455651	71567820	5	protein_coding	ENSG00000145734
40.91	64443802	64444742	7	unitary_pseudogene	ENSG00000223845
33.15	64469185	64470653	7	processed_pseudogene	ENSG00000228014
46.41	64500825	64501729	7	processed_pseudogene	ENSG00000228653
54.88	134355347	134375479	3	protein_coding	ENSG00000114019
38.96	64519878	64563075	7	protein_coding	ENSG00000173041
46.73	27268113	27269229	6	processed_pseudogene	ENSG00000270935
42.80	27285903	27312273	6	protein_coding	ENSG00000158553
36.46	27324894	27325768	6	unprocessed_pseudogene	ENSG00000220758
42.28	27374615	27403908	6	protein_coding	ENSG00000124613
50.03	8052318	8062660	19	protein_coding	ENSG00000131142
71.43	92904399	92904475	15	miRNA	ENSG00000284324
52.94	93035271	93089211	15	protein_coding	ENSG00000182175
49.47	232543883	232550557	2	protein_coding	ENSG00000221944
44.91	27404010	27406964	6	lncRNA	ENSG00000271755
39.67	27407697	27407996	6	processed_pseudogene	ENSG00000237154
40.25	64551498	64552066	7	processed_pseudogene	ENSG00000223974
38.79	27450743	27473118	6	protein_coding	ENSG00000096654
40.38	55519604	55545079	2	protein_coding	ENSG00000163001
44.76	64566814	64567443	7	processed_pseudogene	ENSG00000235349
65.94	64569428	64570437	7	processed_pseudogene	ENSG00000213642
46.74	64582733	64583207	7	processed_pseudogene	ENSG00000224669
38.83	27454568	27457575	6	lncRNA	ENSG00000285849
40.91	27491422	27519435	6	lncRNA	ENSG00000285703
40.37	64590599	64591133	7	processed_pseudogene	ENSG00000276475
43.30	27510501	27510694	6	processed_pseudogene	ENSG00000278332
50.42	27515039	27515274	6	processed_pseudogene	ENSG00000270666
48.58	64678954	64687393	7	processed_pseudogene	ENSG00000271550
49.56	64679064	64679176	7	miRNA	ENSG00000275667
46.99	27523076	27524339	6	processed_pseudogene	ENSG00000218347
49.20	64735933	64736743	7	processed_pseudogene	ENSG00000224172
50.92	27560822	27561744	6	processed_pseudogene	ENSG00000219738
38.37	64933273	64933616	7	processed_pseudogene	ENSG00000223476
43.40	27596412	27596517	6	snRNA	ENSG00000206671
37.71	27771949	27812640	8	protein_coding	ENSG00000171320
45.88	42050513	42087461	6	protein_coding	ENSG00000137413
62.28	150368189	150374044	7	protein_coding	ENSG00000214022
45.82	6135247	6193094	19	protein_coding	ENSG00000130377
37.50	222945725	222945900	1	processed_pseudogene	ENSG00000234523
46.59	223109404	223143248	1	protein_coding	ENSG00000187554
54.63	61333220	61353295	11	protein_coding	ENSG00000149476
53.36	74174456	74174753	14	misc_RNA	ENSG00000239910
42.55	74192589	74192823	14	transcribed_processed_pseudogene	ENSG00000258513
52.98	223144049	223144954	1	lncRNA	ENSG00000236846
53.79	74239449	74262738	14	protein_coding	ENSG00000119614
39.40	223181144	223188154	1	lncRNA	ENSG00000226601
43.14	42817122	42844991	1	protein_coding	ENSG00000164010
53.80	150368790	150398630	7	protein_coding	ENSG00000196456
65.13	93065586	93066606	15	transcribed_processed_pseudogene	ENSG00000258611
51.39	74285269	74303055	14	protein_coding	ENSG00000119688
38.33	59659146	59689339	15	protein_coding	ENSG00000140299
37.08	55654709	55657014	X	transcribed_unprocessed_pseudogene	ENSG00000169164
53.85	150379329	150410597	7	lncRNA	ENSG00000284048
55.02	47722331	47725932	X	transcribed_unprocessed_pseudogene	ENSG00000187893
54.54	150379854	150383885	7	lncRNA	ENSG00000239377
43.24	150450630	150479393	7	protein_coding	ENSG00000171115
35.73	108747841	109196841	5	protein_coding	ENSG00000151422
40.33	155348752	155349713	X	transcribed_unprocessed_pseudogene	ENSG00000230578
42.37	52624998	52632891	X	transcribed_unprocessed_pseudogene	ENSG00000157965
43.24	48296816	48304867	X	transcribed_unprocessed_pseudogene	ENSG00000204648
60.22	71719142	71721278	X	transcribed_unprocessed_pseudogene	ENSG00000226870
63.46	71761561	71762433	X	transcribed_unprocessed_pseudogene	ENSG00000234442
47.27	48109981	48119630	X	transcribed_unprocessed_pseudogene	ENSG00000171483
37.02	150484061	150485135	7	processed_pseudogene	ENSG00000271582
41.94	31330711	31330896	7	processed_pseudogene	ENSG00000271027
35.44	31337465	31340726	7	protein_coding	ENSG00000164600
33.65	27773645	27773748	8	snRNA	ENSG00000202242
37.24	27809624	27838082	8	protein_coding	ENSG00000168078
38.95	130445085	130523536	X	transcribed_unprocessed_pseudogene	ENSG00000274775
45.98	126006357	126101561	3	protein_coding	ENSG00000114544
42.12	31414158	31421303	7	lncRNA	ENSG00000231418
42.12	102173100	102185021	X	transcribed_unprocessed_pseudogene	ENSG00000251525
40.62	31687215	31708455	7	protein_coding	ENSG00000106341
41.38	15681053	15703192	X	transcribed_unprocessed_pseudogene	ENSG00000186312
36.33	89700345	89838315	4	protein_coding	ENSG00000145335
39.69	55279839	55288685	X	transcribed_unprocessed_pseudogene	ENSG00000232765
57.73	53251251	53254406	12	protein_coding	ENSG00000182544
52.68	64942143	64942926	7	processed_pseudogene	ENSG00000270948
45.72	64990356	65006743	7	protein_coding	ENSG00000213462
47.50	101832537	101843278	X	transcribed_unprocessed_pseudogene	ENSG00000126952
38.32	65023204	65023310	7	snRNA	ENSG00000201165
69.59	65038372	65038565	7	unprocessed_pseudogene	ENSG00000239985
51.69	53268299	53293638	12	protein_coding	ENSG00000135476
42.54	65065999	65066132	7	snoRNA	ENSG00000207344
37.71	115962454	116027619	5	protein_coding	ENSG00000172901
36.30	65070538	65070672	7	snoRNA	ENSG00000207062
47.39	65075023	65078780	7	unprocessed_pseudogene	ENSG00000227113
42.99	65084103	65100232	7	unprocessed_pseudogene	ENSG00000226002
40.19	35930158	35930264	7	snRNA	ENSG00000200446
40.62	35933888	35934569	7	unprocessed_pseudogene	ENSG00000273580
39.64	35946294	35972587	7	unprocessed_pseudogene	ENSG00000226102
39.16	63883249	63883391	2	snoRNA	ENSG00000251775
49.38	148863564	148863804	2	processed_pseudogene	ENSG00000223962
44.10	148866470	148888823	2	lncRNA	ENSG00000231079
63.18	35971147	35971567	7	processed_pseudogene	ENSG00000270889
43.85	148870024	148870381	2	processed_pseudogene	ENSG00000228848
47.25	42846573	42852477	1	protein_coding	ENSG00000164011
44.86	36001317	36055431	7	lncRNA	ENSG00000232930
38.90	148872253	148872797	2	processed_pseudogene	ENSG00000226340
41.27	149068596	149068910	2	processed_pseudogene	ENSG00000228236
52.14	61348754	61362283	11	protein_coding	ENSG00000162144
